"Idioma Destino","Valor","Recurso","Arquivo","Caminho"
"Ingles","Encerrada com catálogo en-us","Encerrada_com_registro_de_preco","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Sv. orçamento en-us","Sv_orcamento","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Saving orçamento en-us","Saving_orcamento","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Alterar previsão de entrega EN-US","Alterar_previsao_entrega","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Calculado en-us","Calculado","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Decisão en-us","Decisao","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Líquido en-us","Liquido","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Proposto en-us","Proposto","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Referência en-us","Referencia","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Em solicitação en-us","Em_solicitacao","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Empresa liberada mas não homologada en-US","Empresa_liberada_mas_nao_homologada","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Empresa liberada mas não homologada (em solicitação) en-US","Empresa_liberada_mas_nao_homologada_em_solicitacao","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Empresa em configuração en-US","Empresa_em_configuracao","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Empresa em processo de credenciamento do ClicBusiness en-US","Empresa_em_processo_de_credenciamento_do_ClicBusiness","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Empresa em processo de exportação en-US","Empresa_em_processo_de_exportacao","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Empresa em processo externo en-US","Empresa_em_processo_externo","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Em aprovação de solicitação de cadastro en-US","Em_aprovacao_de_solicitacao_de_cadastro","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Em processo de credenciamento no portal en-US","Em_processo_de_credenciamento_no_portal","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Ingles","Em solicitação de cadastro en-US","Em_solicitacao_de_cadastro","Label.en-us.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.en-us.resx"
"Espanhol (Espanha)","Encerrada com catálogo es-es","Encerrada_com_registro_de_preco","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Sv. orçamento es-es","Sv_orcamento","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Saving orçamento es-es","Saving_orcamento","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Calculado es-es","Calculado","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Decisão es-es","Decisao","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Líquido es-es","Liquido","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Orçado es-es","Orcado","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Proposto es-es","Proposto","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Referência es-es","Referencia","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Em solicitação es-es","Em_solicitacao","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Empresa liberada mas não homologada es-ES","Empresa_liberada_mas_nao_homologada","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Empresa liberada mas não homologada (em solicitação) es-ES","Empresa_liberada_mas_nao_homologada_em_solicitacao","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Empresa em configuração es-ES","Empresa_em_configuracao","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Empresa em processo de credenciamento do ClicBusiness es-ES","Empresa_em_processo_de_credenciamento_do_ClicBusiness","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Empresa em processo de exportação es-ES","Empresa_em_processo_de_exportacao","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Empresa em processo externo es-ES","Empresa_em_processo_externo","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Em aprovação de solicitação de cadastro es-ES","Em_aprovacao_de_solicitacao_de_cadastro","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
"Espanhol (Espanha)","Em processo de credenciamento no portal es-ES","Em_processo_de_credenciamento_no_portal","Label.es.resx","Componentes\eproc\Resources\Paradigma.Wbc.Cotacao.ResourcesCotacao\Label.es.resx"
